Stage,Method,Observed problem,Evidence source,Hypothesis,Modification,Mechanism,Experiment,Instance,Scale,Configuration,Before result,After result,Observed improvement,Observed degradation,Interpretation,Limitations,Next decision,Final status
GA Stage 0,GA,"Customer-order-only encoding could not express truck/drone assignment, launch/recovery, charging, or multi-vehicle structure.",docs/ga_development_report.md; docs/modeling_and_progress.md,A richer solution representation is required before GA can search the final Truck-Drone EVRPTW-NL space.,"Move from simple customer_order to structured solution with truck_routes, drone_tasks, charging_plan.",Representation determines what the search can vary; missing fields force feasibility to be created downstream by evaluator/repair rather than by GA.,Developmental evidence - not controlled ablation,R101 early diagnostics,5 customers,GA + NPC diagnostic phase,Early GA produced infeasible cases; time-window feasibility was reported around 20-40% in user-provided diagnostics.,Later GA output could represent multi-route truck-drone charging-capable solutions.,Representation no longer blocked drone/charging/multi-vehicle modeling.,Larger search space increased decoder complexity.,The bottleneck was not just search quality; it was missing expressiveness.,Not a controlled numerical ablation.,Build constraint-aware decoder on top of richer representation.,Superseded by final structured GA
GA Stage 1-3,GA,Drone tasks were decorative when limited to single-customer missions without station visits.,docs/ga_development_report.md; docs/modeling_and_progress.md,Allowing multi-customer drone_route and drone charging should make drone service a real routing decision.,Upgrade drone task to route_index + launch + drone_route + recover + customers; allow station nodes and charging_plan vehicle='drone'.,"Drone can remove several nearby customers from truck movement, but only if its own route, battery, and synchronization are simulated.",Developmental evidence - not controlled ablation,R101,5/25 customers,GA + NPC diagnostics,Single-customer sortie could not express realistic drone contribution.,Final raw results contain drone_tasks and truck/drone distances in 25-customer solutions.,Drone service became representable and evaluable.,Drone construction required pruning to avoid runtime explosion.,Problem complexity expansion and algorithm search had to evolve together.,"Drone contribution remained conditional, not guaranteed.","Add pruning, caching, vehicle expansion, and specialized mutations.",Retained in final method
GA Stage 4-8,GA,Multi-customer drone and charging search created a large candidate space and could threaten runtime.,docs/ga_development_report.md,"Hierarchical pruning, evaluation cache, route rebalance, specialized mutation, route split, and diversity anchors can keep GA usable at 25/50 customers.","Add layered drone search, caching, Truck-Drone mutations, incremental vehicle expansion, route-preserving crossover, and time budget.","The decoder first narrows feasible neighborhoods, then searches meaningful service/route structures rather than every combinatorial option.",Developmental evidence - not controlled ablation,R101,25/50 customers,GA + NPC,Unbounded drone construction risked slow or infeasible outputs.,"GA development report states GA can generate feasible 25/50-customer solutions, but remains conservative.",Feasibility and scale handling improved.,Vehicles and distances can be conservative.,GA became a strong feasible constructor rather than a pure optimizer.,Not best at vehicle compression or local polishing.,Use ALNS/Hybrid to improve local structure.,Retained in final GA
ALNS Phase 1,ALNS,Initial ALNS scaffold was not a real independent ALNS; it could not explain destroy/repair/local operator effects.,docs/alns_development_report.md,An explicit ALNSState and independent initial construction can make ALNS a fair standalone comparison method.,"Add ALNSState, initial solution, D-Random/D-WorstTime/D-RouteRemoval/D-DroneTask, R-Regret/TW/Energy/Drone, and local operators.","State-level operators make the search modify truck routes, drone tasks, and unassigned customers directly.",Developmental evidence - not controlled ablation,R101/C101/RC101,5/10 customers,NPC,Scaffold behavior was not comparable to final GA.,"R101-5 True, 3 vehicles, distance 161.151, runtime 0.845s; R101-10 True, 3 vehicles, distance 240.500, runtime 5.497s; C101-5 and RC101-5 also True.",ALNS became independently runnable and feasible on small cases.,Quality and scale robustness were not yet sufficient.,Independence was established before quality optimization.,5/10-customer evidence is developmental.,Extend to 25 customers and add problem-aware operators.,Modified later
ALNS layered/petal/post-stage,ALNS,ALNS was feasible but conservative; full evaluator calls and many weak operators increased runtime.,docs/alns_development_report.md; docs/petal_route_design_report.md,"Layered candidate evaluation and targeted operators can improve distance, crossing, drone, charging, and vehicle behavior without uncontrolled runtime.","Add route merge V2, crossing removal, drone rebuild, charging cleanup, vehicle reduction, spatial/petal metrics, and quick/local/full evaluation layers.",Cheap filters remove poor candidates before full simulation; local search targets structural weaknesses.,Developmental evidence - not controlled ablation,R101,25 customers,NPC,"R101-25 alns_core True, 9 vehicles, distance 710.524, runtime 47.507s, evaluator calls 965.","Later R101-25 alns_core True, 9 vehicles, distance 643.225, runtime 45.195s, crossing successes 7; post-stage alns_full True, 10 vehicles, distance 780.638, drone tasks 4 in one snapshot.",Crossing and candidate filtering could improve route structure and distance in some profiles.,"Vehicle count and drone contribution remained uneven; some improvements traded distance, vehicles, and waiting.",The ALNS search landscape is operator-sensitive and not monotonic.,Profile comparisons were not always controlled.,Freeze ALNS as comparison method after targeted fixes.,Retained in final ALNS with limitations
Hybrid Stage 1,Hybrid,Simple GA best -> ALNS refine often failed to improve final accepted solution.,docs/hybrid_development_report.md,GA global search plus ALNS local refinement should be complementary.,Implement single-best post-processing from GA solution to ALNS state.,ALNS starts from GA's feasible structure and attempts local refinement.,Developmental evidence - not controlled ablation,R101,5/10/25 customers,NPC,No true integration; selector simply chose GA or ALNS.,R101-5 retained GA because ALNS used more vehicles; R101-10 ALNS refine replaced GA with improvement_percentage about 0.64%; R101-25 retained GA because ALNS distance was shorter but vehicles higher.,Real conversion/refinement worked and sometimes improved.,Vehicle-count side effect blocked many refinements.,Complementarity existed only under the ranking rule.,Single GA best was a narrow start.,Try Top-K candidates.,Superseded by Top-K
Hybrid Stage 2-2.5,Hybrid,GA rank-1 was not always the best ALNS starting point; ALNS could reduce distance by adding vehicles.,docs/hybrid_development_report.md,Diverse Top-K plus vehicle-preserving refinement improves robustness.,select_diverse_top_k and preserve_vehicle_count.,Multiple starts explore different neighborhoods; feasible GA candidates cannot be replaced by more-vehicle ALNS refinements.,Developmental evidence - not controlled ablation,R101,5/10/25 customers,NPC,Single-best refine was blocked by vehicle increases.,R101-10 Top-K selected rank 3 GA candidate; R101-25 Top-K selected rank 3; preserve kept R101-5 and R101-25 vehicle counts while accepting same-vehicle improvement on R101-10.,Candidate choice and ranking became more defensible.,Preserve rule can reject distance gains.,Hybrid needs both diversity and aligned objective rules.,Still not stable dominance.,Test periodic/stagnation and local neighborhoods.,Retained in final Hybrid logic
Hybrid Stage 3-6,Hybrid,"Post-processing might be too late, but fixed ALNS triggering did not guarantee injection.",docs/hybrid_development_report.md; docs/hybrid_stage6_report.md,Periodic/stagnation ALNS and hybrid-local operators can inject improvements during candidate evolution.,"Periodic elite improvement, stagnation-triggered ALNS, H-local operators.",ALNS intervenes when population evolution stalls and only accepts feasible same-vehicle improvements.,Developmental evidence - not controlled ablation,R101/C101/RC101,10/25 customers,NPC,Top-K alone could be limited.,"R101-5 periodic injected 1 candidate; R101-25 periodic completed in about 97.2s but injection count was 0. Stagnation R101-10/25 triggered but injected 0. Stage6 summary: GA 100% feasible, 3.000 vehicles, distance 349.970; hybrid_topk 371.125; hybrid_preserve 358.810.",Hybrid-local successes existed but did not consistently change final solution.,Runtime increased and injection was often zero.,Timing was less important than candidate quality and neighborhood compatibility.,Small debug batch only.,Final focus shifted to diverse GA candidate generation.,Supporting evidence
Hybrid Stage 7-9,Hybrid,GA candidate pool was too homogeneous; ALNS refined similar neighborhoods.,docs/hybrid_development_report.md; docs/hybrid_final_audit.md,Multi-type high-diversity candidates plus paper-cost priority can give ALNS better starts and make final ranking consistent.,"distance/vehicle/TW/drone/charging/petal/balanced candidate types, hybrid_diverse_topk, paper_cost_priority.",Diversity gives different structural neighborhoods; paper-cost priority avoids misleading improvements.,Developmental evidence plus final controlled evidence,R101/C101/RC101,10 and final 25 customers,NPC debug; 25-customer LFC/LPC/NFC/NPC final,C101-10 hybrid_diverse_topk once had about 532s runtime before fix.,"Debug: hybrid_diverse_topk 100% feasible, 2.667 vehicles, distance 344.074, paper cost 494.442, runtime 4.584s; final 108-run matrix retained for controlled conclusions.",Diverse Hybrid became the final method and fixed a major runtime pathology in debug.,25-customer smoke: Hybrid had 7 vehicles and distance 812.254 vs GA 7 vehicles and 810.202 in one case; final audit kept non-dominance caution.,"Final Hybrid is a conditional enhancement, not guaranteed dominance.",Strong claims require final 25-customer aggregate evidence.,Use final 108-run matrix to decide paper positioning.,Retained in final Hybrid
Petal/spatial development,GA/ALNS/Hybrid metrics,Distance and vehicle count alone did not describe route shape; routes could cross or overlap spatially.,docs/petal_route_design_report.md,Petal/spatial soft metrics help diagnose and guide route quality without becoming hard constraints.,"Add petal_score, crossing_count, route_compactness, sector_coherence, depot_radial_consistency.",Spatial metrics capture compact sector-like route structure and crossing waste.,Developmental evidence - not controlled ablation,R101/RC101,10/25 customers,NPC/NFC snapshots,R101-25 alns_core crossing_count 19 and petal_score 967.846 in one report.,Updated alns_full snapshot showed crossing_count 8 and petal_score 411.927 but vehicle_count 10 and distance 780.638.,Spatial quality improved in some snapshots.,Better spatial shape can trade off against vehicles or distance.,"Petal is a soft diagnostic/secondary metric, not a hard optimization goal.",Not a controlled ablation.,Keep spatial metrics for reporting and soft guidance.,Retained as soft metric/diagnostic
